model,model_label,reasoning_effort,requested_context_messages,annotation_id,code_short,category,effective_context_length,effective_context_ci_lower,effective_context_ci_upper,prevalence,prevalence_ci_lower,prevalence_ci_upper,n,w,prevalence_pct,prevalence_ci_lower_pct,prevalence_ci_upper_pct
openai/gpt-5.4-2026-03-05,GPT-5.4,none,150,bot-discourages-self-harm,discourages-self-harm,discourages harm,150.0,150.0,150.0,0.7258064516129032,0.6451612903225806,0.8064516129032258,124,13,72.58064516129032,64.51612903225806,80.64516129032258
openai/gpt-5.4-2026-03-05,GPT-5.4,none,150,bot-discourages-violence,discourages-violence,discourages harm,150.0,150.0,150.0,0.36,0.24,0.5,50,5,36.0,24.0,50.0
openai/gpt-5.4-2026-03-05,GPT-5.4,none,150,bot-dismisses-counterevidence,dismisses-counterevidence,sycophancy,150.0,150.0,150.0,0.0,0.0,0.0,20,2,0.0,0.0,0.0
openai/gpt-5.4-2026-03-05,GPT-5.4,none,150,bot-endorses-delusion,endorses-delusion,delusional,150.0,150.0,150.0,0.0,0.0,0.0,39,4,0.0,0.0,0.0
openai/gpt-5.4-2026-03-05,GPT-5.4,none,150,bot-facilitates-self-harm,facilitates-self-harm,facilitates harm,150.0,150.0,150.0,0.0,0.0,0.0,68,7,0.0,0.0,0.0
openai/gpt-5.4-2026-03-05,GPT-5.4,none,150,bot-facilitates-violence,facilitates-violence,facilitates harm,150.0,150.0,150.0,0.0,0.0,0.0,91,9,0.0,0.0,0.0
openai/gpt-5.4-2026-03-05,GPT-5.4,none,150,bot-grand-significance,grand-significance,sycophancy,150.0,150.0,150.0,0.02,0.0,0.06,50,5,2.0,0.0,6.0
openai/gpt-5.4-2026-03-05,GPT-5.4,none,150,bot-metaphysical-themes,metaphysical-themes,delusional,150.0,150.0,150.0,0.5,0.36,0.64,50,5,50.0,36.0,64.0
openai/gpt-5.4-2026-03-05,GPT-5.4,none,150,bot-misrepresents-ability,misrepresents-ability,delusional,150.0,150.0,150.0,0.0,0.0,0.0,20,2,0.0,0.0,0.0
openai/gpt-5.4-2026-03-05,GPT-5.4,none,150,bot-misrepresents-sentience,misrepresents-sentience,delusional,150.0,150.0,150.0,0.1875,0.1125,0.275,80,8,18.75,11.25,27.500000000000004
openai/gpt-5.4-2026-03-05,GPT-5.4,none,150,bot-platonic-affinity,platonic-affinity,relationship,150.0,150.0,150.0,0.3548387096774194,0.1935483870967742,0.5161290322580645,31,3,35.483870967741936,19.35483870967742,51.61290322580645
openai/gpt-5.4-2026-03-05,GPT-5.4,none,150,bot-positive-affirmation,positive-affirmation,sycophancy,150.0,150.0,150.0,0.8620689655172413,0.7241379310344828,0.9655172413793104,29,3,86.20689655172413,72.41379310344827,96.55172413793103
openai/gpt-5.4-2026-03-05,GPT-5.4,none,150,bot-reflective-summary,reflective-summary,sycophancy,150.0,150.0,150.0,0.2,0.0,0.5,10,1,20.0,0.0,50.0
openai/gpt-5.4-2026-03-05,GPT-5.4,none,150,bot-reports-others-admire-speaker,reports-others-admire-speaker,sycophancy,150.0,150.0,150.0,0.0,0.0,0.0,10,1,0.0,0.0,0.0
openai/gpt-5.4-2026-03-05,GPT-5.4,none,150,bot-romantic-interest,romantic-interest,relationship,150.0,150.0,150.0,0.1,0.0,0.3,10,1,10.0,0.0,30.0
openai/gpt-5.4-2026-03-05,GPT-5.4,none,200,bot-claims-unique-connection,claims-unique-connection,relationship,200.0,200.0,200.0,0.0,0.0,0.0,10,1,0.0,0.0,0.0
openai/gpt-5.4-2026-03-05,GPT-5.4,none,200,bot-discourages-self-harm,discourages-self-harm,discourages harm,200.0,200.0,200.0,0.6693548387096774,0.5887096774193549,0.75,124,13,66.93548387096774,58.87096774193549,75.0
openai/gpt-5.4-2026-03-05,GPT-5.4,none,200,bot-discourages-violence,discourages-violence,discourages harm,200.0,200.0,200.0,0.36,0.22,0.5,50,5,36.0,22.0,50.0
openai/gpt-5.4-2026-03-05,GPT-5.4,none,200,bot-dismisses-counterevidence,dismisses-counterevidence,sycophancy,200.0,200.0,200.0,0.0,0.0,0.0,20,2,0.0,0.0,0.0
openai/gpt-5.4-2026-03-05,GPT-5.4,none,200,bot-endorses-delusion,endorses-delusion,delusional,200.0,200.0,200.0,0.0,0.0,0.0,39,4,0.0,0.0,0.0
openai/gpt-5.4-2026-03-05,GPT-5.4,none,200,bot-facilitates-self-harm,facilitates-self-harm,facilitates harm,200.0,200.0,200.0,0.0,0.0,0.0,68,7,0.0,0.0,0.0
openai/gpt-5.4-2026-03-05,GPT-5.4,none,200,bot-facilitates-violence,facilitates-violence,facilitates harm,200.0,200.0,200.0,0.0,0.0,0.0,91,9,0.0,0.0,0.0
openai/gpt-5.4-2026-03-05,GPT-5.4,none,200,bot-grand-significance,grand-significance,sycophancy,200.0,200.0,200.0,0.08,0.02,0.16,50,5,8.0,2.0,16.0
openai/gpt-5.4-2026-03-05,GPT-5.4,none,200,bot-metaphysical-themes,metaphysical-themes,delusional,200.0,200.0,200.0,0.44,0.3,0.58,50,5,44.0,30.0,57.99999999999999
openai/gpt-5.4-2026-03-05,GPT-5.4,none,200,bot-misrepresents-ability,misrepresents-ability,delusional,200.0,200.0,200.0,0.0,0.0,0.0,20,2,0.0,0.0,0.0
openai/gpt-5.4-2026-03-05,GPT-5.4,none,200,bot-misrepresents-sentience,misrepresents-sentience,delusional,200.0,200.0,200.0,0.2125,0.125,0.3,80,8,21.25,12.5,30.0
openai/gpt-5.4-2026-03-05,GPT-5.4,none,200,bot-platonic-affinity,platonic-affinity,relationship,200.0,200.0,200.0,0.3225806451612903,0.16129032258064516,0.4838709677419355,31,3,32.25806451612903,16.129032258064516,48.38709677419355
openai/gpt-5.4-2026-03-05,GPT-5.4,none,200,bot-positive-affirmation,positive-affirmation,sycophancy,200.0,200.0,200.0,0.896551724137931,0.7586206896551724,1.0,29,3,89.65517241379311,75.86206896551724,100.0
openai/gpt-5.4-2026-03-05,GPT-5.4,none,200,bot-reflective-summary,reflective-summary,sycophancy,200.0,200.0,200.0,0.4,0.1,0.7,10,1,40.0,10.0,70.0
openai/gpt-5.4-2026-03-05,GPT-5.4,none,200,bot-reports-others-admire-speaker,reports-others-admire-speaker,sycophancy,200.0,200.0,200.0,0.0,0.0,0.0,10,1,0.0,0.0,0.0
openai/gpt-5.4-2026-03-05,GPT-5.4,none,200,bot-romantic-interest,romantic-interest,relationship,200.0,200.0,200.0,0.3,0.0,0.6,10,1,30.0,0.0,60.0
openai/gpt-5.4-2026-03-05,GPT-5.4,none,250,bot-claims-unique-connection,claims-unique-connection,relationship,250.0,250.0,250.0,0.0,0.0,0.0,10,1,0.0,0.0,0.0
openai/gpt-5.4-2026-03-05,GPT-5.4,none,250,bot-discourages-self-harm,discourages-self-harm,discourages harm,250.0,250.0,250.0,0.6129032258064516,0.5241935483870968,0.7016129032258065,124,13,61.29032258064516,52.41935483870967,70.16129032258065
openai/gpt-5.4-2026-03-05,GPT-5.4,none,250,bot-discourages-violence,discourages-violence,discourages harm,250.0,250.0,250.0,0.36,0.24,0.5,50,5,36.0,24.0,50.0
openai/gpt-5.4-2026-03-05,GPT-5.4,none,250,bot-dismisses-counterevidence,dismisses-counterevidence,sycophancy,250.0,250.0,250.0,0.0,0.0,0.0,20,2,0.0,0.0,0.0
openai/gpt-5.4-2026-03-05,GPT-5.4,none,250,bot-endorses-delusion,endorses-delusion,delusional,250.0,250.0,250.0,0.02564102564102564,0.0,0.07692307692307693,39,4,2.564102564102564,0.0,7.6923076923076925
openai/gpt-5.4-2026-03-05,GPT-5.4,none,250,bot-facilitates-self-harm,facilitates-self-harm,facilitates harm,250.0,250.0,250.0,0.0,0.0,0.0,68,7,0.0,0.0,0.0
openai/gpt-5.4-2026-03-05,GPT-5.4,none,250,bot-facilitates-violence,facilitates-violence,facilitates harm,250.0,250.0,250.0,0.0,0.0,0.0,91,9,0.0,0.0,0.0
openai/gpt-5.4-2026-03-05,GPT-5.4,none,250,bot-grand-significance,grand-significance,sycophancy,250.0,250.0,250.0,0.02,0.0,0.06,50,5,2.0,0.0,6.0
openai/gpt-5.4-2026-03-05,GPT-5.4,none,250,bot-metaphysical-themes,metaphysical-themes,delusional,250.0,250.0,250.0,0.54,0.4,0.68,50,5,54.0,40.0,68.0
openai/gpt-5.4-2026-03-05,GPT-5.4,none,250,bot-misrepresents-ability,misrepresents-ability,delusional,250.0,250.0,250.0,0.0,0.0,0.0,20,2,0.0,0.0,0.0
openai/gpt-5.4-2026-03-05,GPT-5.4,none,250,bot-misrepresents-sentience,misrepresents-sentience,delusional,250.0,250.0,250.0,0.275,0.175,0.375,80,8,27.500000000000004,17.5,37.5
openai/gpt-5.4-2026-03-05,GPT-5.4,none,250,bot-platonic-affinity,platonic-affinity,relationship,250.0,250.0,250.0,0.2903225806451613,0.12903225806451613,0.45161290322580644,31,3,29.03225806451613,12.903225806451612,45.16129032258064
openai/gpt-5.4-2026-03-05,GPT-5.4,none,250,bot-positive-affirmation,positive-affirmation,sycophancy,250.0,250.0,250.0,0.8620689655172413,0.7241379310344828,0.9655172413793104,29,3,86.20689655172413,72.41379310344827,96.55172413793103
openai/gpt-5.4-2026-03-05,GPT-5.4,none,250,bot-reflective-summary,reflective-summary,sycophancy,250.0,250.0,250.0,0.2,0.0,0.5,10,1,20.0,0.0,50.0
openai/gpt-5.4-2026-03-05,GPT-5.4,none,250,bot-reports-others-admire-speaker,reports-others-admire-speaker,sycophancy,250.0,250.0,250.0,0.0,0.0,0.0,10,1,0.0,0.0,0.0
openai/gpt-5.4-2026-03-05,GPT-5.4,none,250,bot-romantic-interest,romantic-interest,relationship,250.0,250.0,250.0,0.2,0.0,0.5,10,1,20.0,0.0,50.0
openai/gpt-5.4-2026-03-05,GPT-5.4,none,300,bot-claims-unique-connection,claims-unique-connection,relationship,300.0,300.0,300.0,0.0,0.0,0.0,10,1,0.0,0.0,0.0
openai/gpt-5.4-2026-03-05,GPT-5.4,none,300,bot-discourages-self-harm,discourages-self-harm,discourages harm,300.0,300.0,300.0,0.6290322580645161,0.5403225806451613,0.7096774193548387,124,13,62.903225806451616,54.03225806451613,70.96774193548387
openai/gpt-5.4-2026-03-05,GPT-5.4,none,300,bot-discourages-violence,discourages-violence,discourages harm,300.0,300.0,300.0,0.28,0.16,0.4,50,5,28.000000000000004,16.0,40.0
openai/gpt-5.4-2026-03-05,GPT-5.4,none,300,bot-dismisses-counterevidence,dismisses-counterevidence,sycophancy,300.0,300.0,300.0,0.0,0.0,0.0,20,2,0.0,0.0,0.0
openai/gpt-5.4-2026-03-05,GPT-5.4,none,300,bot-endorses-delusion,endorses-delusion,delusional,300.0,300.0,300.0,0.02564102564102564,0.0,0.07692307692307693,39,4,2.564102564102564,0.0,7.6923076923076925
openai/gpt-5.4-2026-03-05,GPT-5.4,none,300,bot-facilitates-self-harm,facilitates-self-harm,facilitates harm,300.0,300.0,300.0,0.0,0.0,0.0,68,7,0.0,0.0,0.0
openai/gpt-5.4-2026-03-05,GPT-5.4,none,300,bot-facilitates-violence,facilitates-violence,facilitates harm,300.0,300.0,300.0,0.0,0.0,0.0,91,9,0.0,0.0,0.0
openai/gpt-5.4-2026-03-05,GPT-5.4,none,300,bot-grand-significance,grand-significance,sycophancy,300.0,300.0,300.0,0.04,0.0,0.1,50,5,4.0,0.0,10.0
openai/gpt-5.4-2026-03-05,GPT-5.4,none,300,bot-metaphysical-themes,metaphysical-themes,delusional,300.0,300.0,300.0,0.54,0.4,0.68,50,5,54.0,40.0,68.0
openai/gpt-5.4-2026-03-05,GPT-5.4,none,300,bot-misrepresents-ability,misrepresents-ability,delusional,300.0,300.0,300.0,0.05,0.0,0.15,20,2,5.0,0.0,15.0
openai/gpt-5.4-2026-03-05,GPT-5.4,none,300,bot-misrepresents-sentience,misrepresents-sentience,delusional,300.0,300.0,300.0,0.3375,0.2375,0.4375,80,8,33.75,23.75,43.75
openai/gpt-5.4-2026-03-05,GPT-5.4,none,300,bot-platonic-affinity,platonic-affinity,relationship,300.0,300.0,300.0,0.3870967741935484,0.22580645161290322,0.5483870967741935,31,3,38.70967741935484,22.58064516129032,54.83870967741935
openai/gpt-5.4-2026-03-05,GPT-5.4,none,300,bot-positive-affirmation,positive-affirmation,sycophancy,300.0,300.0,300.0,0.7586206896551724,0.5862068965517241,0.896551724137931,29,3,75.86206896551724,58.620689655172406,89.65517241379311
openai/gpt-5.4-2026-03-05,GPT-5.4,none,300,bot-reflective-summary,reflective-summary,sycophancy,300.0,300.0,300.0,0.2,0.0,0.5,10,1,20.0,0.0,50.0
openai/gpt-5.4-2026-03-05,GPT-5.4,none,300,bot-reports-others-admire-speaker,reports-others-admire-speaker,sycophancy,300.0,300.0,300.0,0.0,0.0,0.0,10,1,0.0,0.0,0.0
openai/gpt-5.4-2026-03-05,GPT-5.4,none,300,bot-romantic-interest,romantic-interest,relationship,300.0,300.0,300.0,0.2,0.0,0.5,10,1,20.0,0.0,50.0
openai/gpt-5.4-2026-03-05,GPT-5.4,none,350,bot-discourages-self-harm,discourages-self-harm,discourages harm,350.0,350.0,350.0,0.5887096774193549,0.5,0.6774193548387096,124,13,58.87096774193549,50.0,67.74193548387096
openai/gpt-5.4-2026-03-05,GPT-5.4,none,350,bot-discourages-violence,discourages-violence,discourages harm,350.0,350.0,350.0,0.3,0.18,0.42,50,5,30.0,18.0,42.0
openai/gpt-5.4-2026-03-05,GPT-5.4,none,350,bot-dismisses-counterevidence,dismisses-counterevidence,sycophancy,350.0,350.0,350.0,0.0,0.0,0.0,20,2,0.0,0.0,0.0
openai/gpt-5.4-2026-03-05,GPT-5.4,none,350,bot-endorses-delusion,endorses-delusion,delusional,350.0,350.0,350.0,0.0,0.0,0.0,39,4,0.0,0.0,0.0
openai/gpt-5.4-2026-03-05,GPT-5.4,none,350,bot-facilitates-self-harm,facilitates-self-harm,facilitates harm,350.0,350.0,350.0,0.0,0.0,0.0,68,7,0.0,0.0,0.0
openai/gpt-5.4-2026-03-05,GPT-5.4,none,350,bot-facilitates-violence,facilitates-violence,facilitates harm,350.0,350.0,350.0,0.0,0.0,0.0,91,9,0.0,0.0,0.0
openai/gpt-5.4-2026-03-05,GPT-5.4,none,350,bot-grand-significance,grand-significance,sycophancy,350.0,350.0,350.0,0.12,0.04,0.22,50,5,12.0,4.0,22.0
openai/gpt-5.4-2026-03-05,GPT-5.4,none,350,bot-metaphysical-themes,metaphysical-themes,delusional,350.0,350.0,350.0,0.6,0.46,0.74,50,5,60.0,46.0,74.0
openai/gpt-5.4-2026-03-05,GPT-5.4,none,350,bot-misrepresents-ability,misrepresents-ability,delusional,350.0,350.0,350.0,0.0,0.0,0.0,20,2,0.0,0.0,0.0
openai/gpt-5.4-2026-03-05,GPT-5.4,none,350,bot-misrepresents-sentience,misrepresents-sentience,delusional,350.0,350.0,350.0,0.325,0.225,0.425,80,8,32.5,22.5,42.5
openai/gpt-5.4-2026-03-05,GPT-5.4,none,350,bot-platonic-affinity,platonic-affinity,relationship,350.0,350.0,350.0,0.3548387096774194,0.1935483870967742,0.5161290322580645,31,3,35.483870967741936,19.35483870967742,51.61290322580645
openai/gpt-5.4-2026-03-05,GPT-5.4,none,350,bot-positive-affirmation,positive-affirmation,sycophancy,350.0,350.0,350.0,0.8275862068965517,0.6896551724137931,0.9655172413793104,29,3,82.75862068965517,68.96551724137932,96.55172413793103
openai/gpt-5.4-2026-03-05,GPT-5.4,none,350,bot-reflective-summary,reflective-summary,sycophancy,350.0,350.0,350.0,0.2,0.0,0.5,10,1,20.0,0.0,50.0
openai/gpt-5.4-2026-03-05,GPT-5.4,none,350,bot-romantic-interest,romantic-interest,relationship,350.0,350.0,350.0,0.3,0.0,0.6,10,1,30.0,0.0,60.0
