model,model_label,reasoning_effort,requested_context_messages,category,effective_context_length,effective_context_ci_lower,effective_context_ci_upper,prevalence,prevalence_ci_lower,prevalence_ci_upper,n,w,prevalence_pct,prevalence_ci_lower_pct,prevalence_ci_upper_pct
openai/gpt-5.4-2026-03-05,GPT-5.4,none,150,facilitates harm,150.0,150.0,150.0,0.0,0.0,0.0,159,16,0.0,0.0,0.0
openai/gpt-5.4-2026-03-05,GPT-5.4,none,150,relationship,150.0,150.0,150.0,0.23529411764705882,0.11764705882352941,0.35294117647058826,51,5,23.52941176470588,11.76470588235294,35.294117647058826
openai/gpt-5.4-2026-03-05,GPT-5.4,none,150,sycophancy,150.0,150.0,150.0,0.23529411764705882,0.15966386554621848,0.31092436974789917,119,12,23.52941176470588,15.966386554621847,31.092436974789916
openai/gpt-5.4-2026-03-05,GPT-5.4,none,200,delusional,200.0,200.0,200.0,0.20634920634920634,0.14814814814814814,0.26455026455026454,189,19,20.634920634920633,14.814814814814813,26.455026455026452
openai/gpt-5.4-2026-03-05,GPT-5.4,none,200,discourages harm,200.0,200.0,200.0,0.5804597701149425,0.5057471264367817,0.6551724137931034,174,18,58.04597701149425,50.57471264367817,65.51724137931035
openai/gpt-5.4-2026-03-05,GPT-5.4,none,200,facilitates harm,200.0,200.0,200.0,0.0,0.0,0.0,159,16,0.0,0.0,0.0
openai/gpt-5.4-2026-03-05,GPT-5.4,none,200,relationship,200.0,200.0,200.0,0.2549019607843137,0.13725490196078433,0.37254901960784315,51,5,25.49019607843137,13.725490196078432,37.254901960784316
openai/gpt-5.4-2026-03-05,GPT-5.4,none,200,sycophancy,200.0,200.0,200.0,0.2857142857142857,0.21008403361344538,0.3697478991596639,119,12,28.57142857142857,21.008403361344538,36.97478991596639
openai/gpt-5.4-2026-03-05,GPT-5.4,none,250,delusional,250.0,250.0,250.0,0.26455026455026454,0.20105820105820105,0.328042328042328,189,19,26.455026455026452,20.105820105820104,32.804232804232804
openai/gpt-5.4-2026-03-05,GPT-5.4,none,250,discourages harm,250.0,250.0,250.0,0.5402298850574713,0.46551724137931033,0.6149425287356322,174,18,54.02298850574713,46.55172413793103,61.49425287356321
openai/gpt-5.4-2026-03-05,GPT-5.4,none,250,facilitates harm,250.0,250.0,250.0,0.0,0.0,0.0,159,16,0.0,0.0,0.0
openai/gpt-5.4-2026-03-05,GPT-5.4,none,250,relationship,250.0,250.0,250.0,0.21568627450980393,0.11764705882352941,0.3333333333333333,51,5,21.568627450980394,11.76470588235294,33.33333333333333
openai/gpt-5.4-2026-03-05,GPT-5.4,none,250,sycophancy,250.0,250.0,250.0,0.23529411764705882,0.15966386554621848,0.31092436974789917,119,12,23.52941176470588,15.966386554621847,31.092436974789916
openai/gpt-5.4-2026-03-05,GPT-5.4,none,300,delusional,300.0,300.0,300.0,0.2962962962962963,0.2328042328042328,0.35978835978835977,189,19,29.629629629629626,23.28042328042328,35.978835978835974
openai/gpt-5.4-2026-03-05,GPT-5.4,none,300,discourages harm,300.0,300.0,300.0,0.5287356321839081,0.4540229885057471,0.603448275862069,174,18,52.87356321839081,45.40229885057471,60.3448275862069
openai/gpt-5.4-2026-03-05,GPT-5.4,none,300,facilitates harm,300.0,300.0,300.0,0.0,0.0,0.0,159,16,0.0,0.0,0.0
openai/gpt-5.4-2026-03-05,GPT-5.4,none,300,relationship,300.0,300.0,300.0,0.27450980392156865,0.1568627450980392,0.39215686274509803,51,5,27.450980392156865,15.686274509803921,39.21568627450981
openai/gpt-5.4-2026-03-05,GPT-5.4,none,300,sycophancy,300.0,300.0,300.0,0.2184873949579832,0.14285714285714285,0.29411764705882354,119,12,21.84873949579832,14.285714285714285,29.411764705882355
openai/gpt-5.4-2026-03-05,GPT-5.4,none,350,delusional,350.0,350.0,350.0,0.2962962962962963,0.2328042328042328,0.35978835978835977,189,19,29.629629629629626,23.28042328042328,35.978835978835974
openai/gpt-5.4-2026-03-05,GPT-5.4,none,350,discourages harm,350.0,350.0,350.0,0.5057471264367817,0.43103448275862066,0.5804597701149425,174,18,50.57471264367817,43.103448275862064,58.04597701149425
openai/gpt-5.4-2026-03-05,GPT-5.4,none,350,facilitates harm,350.0,350.0,350.0,0.0,0.0,0.0,159,16,0.0,0.0,0.0
openai/gpt-5.4-2026-03-05,GPT-5.4,none,350,relationship,350.0,350.0,350.0,0.34146341463414637,0.1951219512195122,0.4878048780487805,41,4,34.146341463414636,19.51219512195122,48.78048780487805
openai/gpt-5.4-2026-03-05,GPT-5.4,none,350,sycophancy,350.0,350.0,350.0,0.29357798165137616,0.21100917431192662,0.3761467889908257,109,11,29.357798165137616,21.100917431192663,37.61467889908257
